ID,Frame ID,Timecourse ID,Stomat ID,Genotype,Treatment,Total Fluorescence
130,a,30,4,o,Treatment_A,753970.9613
131,a,0,5,o,Treatment_A,435797.4473
131,a,10,5,o,Treatment_A,273513.7113
131,a,20,5,o,Treatment_A,345914.8625
131,a,30,5,o,Treatment_A,1144395.642
132,a,0,6,o,Treatment_A,352940.3634
132,a,10,6,o,Treatment_A,216966.2794
132,a,20,6,o,Treatment_A,265528.625
132,a,30,6,o,Treatment_A,794300.6558
133,a,0,7,o,Treatment_A,205083.7561
133,a,10,7,o,Treatment_A,141932.7681
133,a,20,7,o,Treatment_A,238426.0563
133,a,30,7,o,Treatment_A,731484.9153
134,a,0,8,o,Treatment_A,367188.5674
134,a,10,8,o,Treatment_A,190783.6994
134,a,20,8,o,Treatment_A,248946.1188
134,a,30,8,o,Treatment_A,1018436.568
135,b,0,1,o,Treatment_A,209179.2
135,b,10,1,o,Treatment_A,605174.917
135,b,20,1,o,Treatment_A,813206.446
135,b,30,1,o,Treatment_A,575232.676
136,b,0,2,o,Treatment_A,383843.34
136,b,10,2,o,Treatment_A,222868.5507
136,b,20,2,o,Treatment_A,463365.4587
136,b,30,2,o,Treatment_A,1087702.085
137,b,0,3,o,Treatment_A,289444.0925
137,b,10,3,o,Treatment_A,197249.3905
137,b,20,3,o,Treatment_A,412760.239
137,b,30,3,o,Treatment_A,731174.434
138,b,0,4,o,Treatment_A,164244.325
138,b,10,4,o,Treatment_A,143963.0117
138,b,20,4,o,Treatment_A,358034.7767
138,b,30,4,o,Treatment_A,625932.9933
139,b,0,5,o,Treatment_A,311799
139,b,10,5,o,Treatment_A,170496.3333
139,b,20,5,o,Treatment_A,334971.3333
139,b,30,5,o,Treatment_A,713211.6667
140,b,0,6,o,Treatment_A,366890.265
140,b,10,6,o,Treatment_A,498452.589
140,b,20,6,o,Treatment_A,705329.582
140,b,30,6,o,Treatment_A,927429.492
141,c,0,1,o,Treatment_A,355261.0983
141,c,10,1,o,Treatment_A,344147.98
141,c,20,1,o,Treatment_A,942574.6703
141,c,30,1,o,Treatment_A,1039815.203
142,c,0,2,o,Treatment_A,395931.3335
142,c,10,2,o,Treatment_A,345670.24
142,c,20,2,o,Treatment_A,657692.6695
142,c,30,2,o,Treatment_A,592216.3235
143,c,0,3,o,Treatment_A,344673.5885
143,c,10,3,o,Treatment_A,585242.44
143,c,20,3,o,Treatment_A,675531.0045
143,c,30,3,o,Treatment_A,751986.2785
144,c,0,4,o,Treatment_A,241262.5785
144,c,10,4,o,Treatment_A,463760.04
144,c,20,4,o,Treatment_A,452253.8345
144,c,30,4,o,Treatment_A,206852.8685
145,d,0,1,o,Treatment_A,556344.3763
145,d,10,1,o,Treatment_A,565911.3542
145,d,20,1,o,Treatment_A,1092551.316
145,d,30,1,o,Treatment_A,830928.7785
146,d,0,2,o,Treatment_A,346188.909
146,d,10,2,o,Treatment_A,485609.8125
146,d,20,2,o,Treatment_A,739437.5765
146,d,30,2,o,Treatment_A,451313.9455
147,d,0,3,o,Treatment_A,512904.4933
147,d,10,3,o,Treatment_A,586087.1667
147,d,20,3,o,Treatment_A,940587.86
147,d,30,3,o,Treatment_A,565469.42
148,d,0,4,o,Treatment_A,98906.487
148,d,10,4,o,Treatment_A,73903.4375
148,d,20,4,o,Treatment_A,313079.6895
148,d,30,4,o,Treatment_A,609863.9565
149,d,0,5,o,Treatment_A,382158.5967
149,d,10,5,o,Treatment_A,572486.9583
